deck_id,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8
257,Arrows,Cannon Cart,Goblin Gang,Knight,Minions,Mortar,Musketeer,Skeleton Barrel
258,Barbarian Barrel,Berserker,Boss Bandit,Fireball,Goblin Gang,Mortar,Musketeer,Skeleton Barrel
259,Baby Dragon,Executioner,Golden Knight,Golem,Mini P.E.K.K.A,Tornado,Vines,Zappies
260,Dart Goblin,Goblin Barrel,Golden Knight,Ice Spirit,Skeleton Army,Skeleton King,Suspicious Bush,Vines
261,Arrows,Giant,Giant Snowball,Graveyard,Guards,Mini P.E.K.K.A,Night Witch,Witch
262,Mighty Miner,Miner,Musketeer,Poison,Skeletons,Tesla,The Log,Wall Breakers
263,Archer Queen,Barbarian Barrel,Cannon,Goblins,Ice Spirit,Lightning,Mini P.E.K.K.A,Royal Hogs
264,Archer Queen,Cannon,Goblins,Ice Spirit,Knight,Lightning,Royal Hogs,The Log
265,Bowler,Executioner,Freeze,Golden Knight,Graveyard,Inferno Dragon,Tornado,Zappies
266,Barbarian Barrel,Electro Spirit,Fireball,Fisherman,Hunter,Mini P.E.K.K.A,Royal Ghost,Royal Giant
267,Archer Queen,Berserker,Miner,Rocket,Skeletons,Tesla,The Log,Valkyrie
268,Giant Snowball,Goblin Demolisher,Goblin Drill,Ice Spirit,Knight,Poison,Skeletons,Tesla
269,Battle Ram,Boss Bandit,Golden Knight,Heal Spirit,Mother Witch,Rage,Royal Ghost,Zappies
270,Baby Dragon,Bomb Tower,Goblins,Graveyard,Musketeer,Tornado,Valkyrie,Vines
271,Arrows,Fisherman,Giant Skeleton,Mini P.E.K.K.A,Mother Witch,Royal Giant,Skeleton Army,Zappies
272,Arrows,Giant,Giant Snowball,Graveyard,Guards,Mini P.E.K.K.A,Minions,Witch
273,Barbarian Barrel,Electro Spirit,Goblin Hut,Lightning,Musketeer,Royal Ghost,Royal Hogs,Skeletons
274,Archer Queen,Mighty Miner,Miner,Poison,Skeletons,Tesla,The Log,Wall Breakers
275,Berserker,Cannon,Goblin Demolisher,Knight,Minions,Poison,Royal Delivery,Wall Breakers
276,Arrows,Bomber,Boss Bandit,Goblin Gang,Minions,Mortar,Musketeer,Skeleton Barrel
277,Earthquake,Furnace,Goblins,Hog Rider,Ice Spirit,Mini P.E.K.K.A,Tesla,The Log
278,Boss Bandit,Electro Wizard,Giant Snowball,Goblin Drill,Golden Knight,Magic Archer,Royal Ghost,Tornado
279,Barbarian Barrel,Goblin Cage,Graveyard,Knight,Musketeer,Poison,Skeleton Army,Vines
280,Barbarian Barrel,Goblin Demolisher,Goblin Drill,Golden Knight,Guards,Mega Knight,Musketeer,Tornado
281,Electro Spirit,Fireball,Fisherman,Guards,Hunter,Monk,Royal Giant,The Log
282,Baby Dragon,Cannon Cart,Giant,Giant Snowball,Graveyard,Mini P.E.K.K.A,Vines,Zappies
283,Elixir Golem,Executioner,Monk,Night Witch,Rage,Skeleton Army,Skeleton King,Void
284,Bomber,Electro Spirit,Knight,Princess,Rocket,Royal Delivery,Tesla,X-Bow
285,Dart Goblin,Fire Spirit,Mini P.E.K.K.A,Rocket,Skeleton Army,Skeleton Barrel,Suspicious Bush,The Log
286,Battle Ram,Boss Bandit,Lumberjack,Minions,Musketeer,Skeletons,Vines,Zap
287,Goblin Gang,Mother Witch,Rocket,Skeleton Army,Skeleton Barrel,Skeleton King,Wall Breakers,Zappies
288,Goblin Barrel,Goblin Gang,Inferno Tower,Knight,Princess,Rocket,Skeletons,The Log
289,Archers,Berserker,Electro Spirit,Rocket,Skeletons,Tesla,The Log,X-Bow
290,Arrows,Bandit,Goblin Gang,Mega Knight,Mini P.E.K.K.A,Musketeer,Wall Breakers,Zap
291,Elixir Golem,Executioner,Monk,Night Witch,Rage,Skeleton Army,Skeleton King,Vines
292,Barbarians,Dark Prince,Guards,Hog Rider,Knight,Lightning,The Log,Valkyrie
293,Knight,Miner,Musketeer,Poison,Skeletons,Tesla,The Log,Wall Breakers
294,Giant,Heal Spirit,Knight,Mini P.E.K.K.A,Sparky,Tornado,Wizard,Zap
295,Archers,Arrows,Bowler,Electro Wizard,Fireball,Graveyard,Guards,P.E.K.K.A
296,Elixir Golem,Executioner,Monk,Night Witch,Poison,Rage,Skeleton Army,Skeleton King
297,Arrows,Bomber,Giant Snowball,Goblin Drill,Goblin Hut,Goblinstein,Knight,Skeletons
298,Goblin Barrel,Goblin Gang,Ice Spirit,Knight,Princess,Rocket,Tesla,The Log
299,Baby Dragon,Barbarian Barrel,Battle Healer,Dark Prince,Electro Dragon,Elixir Golem,Monk,Tornado
300,Arrows,Cannon Cart,Electro Wizard,Golem,Mini P.E.K.K.A,Night Witch,Wizard,Zap
301,Arrows,Electro Giant,Guards,Inferno Dragon,Lightning,Mega Knight,Sparky,Tornado
302,Arrows,Giant,Heal Spirit,Mini P.E.K.K.A,Sparky,Vines,Wizard,Zap
303,Fireball,Fisherman,Monk,Musketeer,Royal Ghost,Royal Giant,Skeletons,The Log
304,Archers,Elite Barbarians,Elixir Collector,Heal Spirit,Knight,Monk,Rage,Three Musketeers
305,Berserker,Cannon,Fireball,Mega Minion,Miner,The Log,Tornado,Wall Breakers
306,Arrows,Bomber,Giant,Heal Spirit,Lumberjack,Mini P.E.K.K.A,Rage,Zap
307,Cannon,Fire Spirit,Giant Snowball,Goblin Drill,Knight,Rocket,Royal Delivery,Skeletons
308,Cannon,Electro Spirit,Hog Rider,Mighty Miner,Musketeer,Rocket,Skeletons,The Log
309,Bats,Dart Goblin,Goblin Barrel,Mega Knight,Prince,Princess,Royal Giant,Skeleton Army
310,Cannon,Fire Spirit,Giant Snowball,Goblin Drill,Knight,Magic Archer,Skeletons,The Log
311,Barbarian Barrel,Fireball,Flying Machine,Goblin Cage,Mother Witch,Royal Hogs,Royal Recruits,Zappies
312,Baby Dragon,Golem,Lightning,Lumberjack,Mega Minion,Night Witch,Tornado,Zap
313,Elixir Golem,Mini P.E.K.K.A,Night Witch,Rage,Skeleton Army,Skeleton King,Void,Wizard
314,Barbarian Barrel,Boss Bandit,Executioner,Giant Snowball,Goblin Demolisher,Golden Knight,Ram Rider,Vines
315,Battle Ram,Bomber,Freeze,Inferno Dragon,Mega Knight,Mini P.E.K.K.A,Mother Witch,Zap
316,Bomber,Executioner,Fireball,Giant Skeleton,Goblin Drill,Golden Knight,Knight,Tornado
317,Arrows,Golem,Inferno Dragon,Musketeer,Night Witch,Skeleton Army,Skeleton King,Zap
318,Balloon,Barbarians,Fireball,Lava Hound,Mega Minion,Skeleton Dragons,Tombstone,Zap
319,Balloon,Barbarian Barrel,Freeze,Giant Snowball,Guards,Lumberjack,Musketeer,Skeleton Dragons
320,Dark Prince,Electro Wizard,Elite Barbarians,Goblin Giant,Heal Spirit,Rage,Sparky,Zap
321,Giant,Heal Spirit,Mini P.E.K.K.A,Minions,Sparky,Tornado,Wizard,Zap
322,Baby Dragon,Barbarian Barrel,Battle Healer,Electro Dragon,Elixir Golem,Knight,Musketeer,Tornado
323,Giant,Magic Archer,Miner,Mini P.E.K.K.A,Minions,Skeletons,The Log,Zap
324,Cannon,Goblin Barrel,Goblins,Ice Spirit,Mighty Miner,Princess,Rocket,The Log
325,Bomber,Executioner,Golem,Mini P.E.K.K.A,Minions,Prince,Vines,Zap
326,Berserker,Cannon,Furnace,Giant Snowball,Goblin Drill,Poison,Royal Delivery,Skeletons
327,Arrows,Electro Spirit,Flying Machine,Goblin Cage,Musketeer,Royal Ghost,Royal Hogs,Royal Recruits
328,Goblin Gang,Mega Knight,Miner,Mini P.E.K.K.A,Minions,Musketeer,Wall Breakers,Zap
329,Archer Queen,Cannon,Ice Spirit,Miner,Mini P.E.K.K.A,Poison,Skeletons,The Log
330,Electro Spirit,Fireball,Fisherman,Guards,Hunter,Knight,Royal Giant,The Log
331,Arrows,Giant,Giant Snowball,Graveyard,Mini P.E.K.K.A,Minions,Musketeer,Skeleton Army
332,Bomber,Furnace,Giant Skeleton,Goblin Curse,Mini P.E.K.K.A,Royal Hogs,Skeleton Army,Skeleton Dragons
333,Barbarian Barrel,Goblin Hut,Miner,Musketeer,Poison,Skeleton Army,Skeleton King,Wall Breakers
334,Bomb Tower,Magic Archer,Miner,Spear Goblins,The Log,Tornado,Valkyrie,Wall Breakers
335,Bats,Bowler,Giant,Giant Snowball,Mini P.E.K.K.A,Musketeer,Sparky,Vines
336,Bowler,Giant,Giant Snowball,Mini P.E.K.K.A,Musketeer,Sparky,Vines,Wizard
337,Cannon,Executioner,Guards,Hog Rider,Ice Spirit,Knight,Lightning,The Log
338,Bandit,Battle Ram,Electro Wizard,Magic Archer,P.E.K.K.A,Poison,Royal Ghost,Zap
339,Bomber,Fireball,Goblin Gang,Mini P.E.K.K.A,Minions,Princess,Royal Hogs,Zap
340,Arrows,Dark Prince,Dart Goblin,Goblin Gang,Mighty Miner,Royal Recruits,Skeleton Barrel,Wall Breakers
341,Dart Goblin,Minions,Mother Witch,Skeleton Army,Skeleton Barrel,Skeleton King,Vines,Wall Breakers
342,Elite Barbarians,Goblin Barrel,Inferno Tower,Musketeer,Skeletons,The Log,Valkyrie,Witch
343,Archers,Barbarian Barrel,Elixir Golem,Inferno Dragon,Mini P.E.K.K.A,Rage,Vines,Witch
344,Bowler,Giant,Mini P.E.K.K.A,Minions,Musketeer,Sparky,Vines,Zap
345,Cannon,Fireball,Knight,Mini P.E.K.K.A,Musketeer,Skeleton Army,Skeleton Barrel,The Log
346,Arrows,Dark Prince,Goblin Giant,Heal Spirit,Mini P.E.K.K.A,Rage,Sparky,Witch
347,Balloon,Furnace,Guards,Lightning,Lumberjack,Tombstone,Valkyrie,Zap
348,Firecracker,Freeze,Inferno Tower,Knight,Royal Hogs,Skeleton Army,The Log,Witch
349,Earthquake,Firecracker,Giant Snowball,Goblins,Hog Rider,Knight,Tesla,The Log
350,Dart Goblin,Guards,Minions,Skeleton Army,Skeleton Barrel,Skeleton King,Suspicious Bush,Vines
351,Fire Spirit,Giant Snowball,Goblin Demolisher,Goblin Drill,Guards,Knight,Poison,Tesla
352,Dark Prince,Electro Spirit,Miner,Rocket,Royal Delivery,Skeletons,Tesla,The Log
353,Electro Spirit,Fireball,Fisherman,Knight,Royal Giant,Skeletons,The Log,Wizard
354,Electro Spirit,Giant Snowball,Goblin Demolisher,Goblin Drill,Knight,Poison,Skeletons,Tesla
355,Baby Dragon,Battle Healer,Elixir Collector,Golem,Knight,Musketeer,Valkyrie,Vines
356,Arrows,Balloon,Barbarians,Lava Hound,Miner,Minion Horde,Minions,Zap
357,Cannon,Fire Spirit,Furnace,Giant Snowball,Goblin Drill,Knight,Rocket,Skeletons
358,Arrows,Bomb Tower,Dart Goblin,Electro Spirit,Goblin Barrel,Knight,Rocket,Skeletons
359,Archer Queen,Elixir Collector,Fire Spirit,Ice Spirit,Mini P.E.K.K.A,Skeletons,The Log,X-Bow
360,Balloon,Fireball,Guards,Inferno Dragon,Lava Hound,Skeleton Dragons,Valkyrie,Zap
361,Cannon,Fireball,Hog Rider,Ice Spirit,Knight,Musketeer,Skeletons,The Log
362,Barbarian Barrel,Cannon,Earthquake,Electro Spirit,Firecracker,Hog Rider,Mighty Miner,Skeletons
363,Barbarian Barrel,Bowler,Electro Giant,Goblin Hut,Inferno Dragon,Lightning,Tornado,Valkyrie
364,Arrows,Barbarians,Bomber,Fireball,Giant,Miner,Minions,Witch
365,Barbarian Barrel,Electro Spirit,Fireball,Ice Golem,Mini P.E.K.K.A,Musketeer,Royal Hogs,Skeletons
366,Barbarian Barrel,Fireball,Hunter,Ice Spirit,Monk,Royal Hogs,Skeletons,Three Musketeers
367,Balloon,Bats,Bomb Tower,Giant Snowball,Hunter,Ice Golem,Miner,Mini P.E.K.K.A
368,Barbarian Barrel,Electro Spirit,Executioner,Fisherman,Goblin Demolisher,Royal Giant,Skeletons,Vines
369,Dart Goblin,Goblin Barrel,Goblin Gang,Knight,Prince,Princess,Rascals,The Log
370,Dark Prince,Ice Spirit,Miner,Rocket,Royal Delivery,Skeletons,Tesla,The Log
371,Electro Spirit,Goblin Barrel,Guards,Knight,Princess,Rocket,Tesla,The Log
372,Barbarian Barrel,Boss Bandit,Cannon,Electro Spirit,Executioner,Giant Snowball,Ram Rider,Vines
373,Bandit,Boss Bandit,Executioner,Giant Snowball,Goblin Demolisher,Golden Knight,Ram Rider,Vines
374,Electro Spirit,Golden Knight,Miner,Rocket,Royal Delivery,Skeletons,Tesla,The Log
375,Electro Spirit,Executioner,Fisherman,Royal Ghost,Royal Giant,Skeletons,The Log,Vines
376,Balloon,Barbarian Barrel,Freeze,Giant Snowball,Knight,Lumberjack,Musketeer,Skeleton Dragons
377,Arrows,Cannon Cart,Goblin Gang,Ice Wizard,Mortar,Skeleton Barrel,Skeleton King,Spear Goblins
378,Bomber,Ice Spirit,Knight,Princess,Rocket,Royal Delivery,Tesla,X-Bow
379,Barbarian Barrel,Fisherman,Lightning,Royal Giant,Skeleton King,Tombstone,Witch,Zappies
380,Dart Goblin,Inferno Tower,Miner,Minion Horde,Princess,Skeleton Army,Skeleton Barrel,Vines
381,Barbarians,Firecracker,Giant Skeleton,Guards,Hog Rider,Lightning,Minion Horde,The Log
382,Earthquake,Firecracker,Hog Rider,Ice Spirit,Knight,Skeletons,Tesla,The Log
383,Berserker,Cannon,Mega Minion,Miner,Poison,Skeletons,The Log,Wall Breakers
384,Barbarian Barrel,Battle Ram,Boss Bandit,Magic Archer,Mini P.E.K.K.A,Skeletons,Spirit Empress,Zap
385,Electro Wizard,Giant Snowball,Golden Knight,Guards,Mega Knight,Poison,Ram Rider,Spirit Empress
386,Barbarian Barrel,Cannon,Goblinstein,Graveyard,Guards,Ice Wizard,Poison,Valkyrie
387,Dart Goblin,Fire Spirit,Goblin Gang,Ice Spirit,Skeleton Barrel,Skeleton King,Vines,Wall Breakers
388,Elixir Collector,Heal Spirit,Ice Golem,Royal Ghost,Royal Hogs,Skeletons,Three Musketeers,Vines
389,Electro Wizard,Mega Knight,Mini P.E.K.K.A,Poison,Ram Rider,Royal Ghost,Spirit Empress,Zap
390,Baby Dragon,Battle Healer,Elixir Collector,Golem,Mini P.E.K.K.A,Valkyrie,Vines,Zappies
391,Fireball,Giant,Guards,Hunter,Inferno Dragon,Miner,The Log,Zap
392,Electro Wizard,Golden Knight,Mega Knight,Poison,Ram Rider,Royal Ghost,Spirit Empress,Zap
393,Electro Spirit,Firecracker,Guards,Lightning,Mini P.E.K.K.A,Musketeer,Royal Giant,Zap
394,Barbarian Barrel,Freeze,Graveyard,Ice Wizard,Inferno Dragon,Mortar,Tornado,Valkyrie
395,Barbarian Barrel,Fireball,Goblins,Hunter,Ice Golem,Royal Ghost,Royal Hogs,Three Musketeers
396,Arrows,Balloon,Guards,Inferno Dragon,Lava Hound,Skeleton Dragons,Valkyrie,Vines
397,Cannon,Earthquake,Electro Spirit,Hog Rider,Ice Golem,Musketeer,Skeletons,The Log
398,Arrows,Barbarian Barrel,Fireball,Goblin Cage,Knight,Royal Hogs,Royal Recruits,Zappies
399,Baby Dragon,Barbarian Barrel,Graveyard,Ice Wizard,Knight,Poison,Tombstone,Tornado
400,Arrows,Elixir Golem,Lightning,Night Witch,Rage,Skeleton Army,Skeleton King,Witch
401,Barbarian Barrel,Cannon,Fireball,Ice Spirit,Musketeer,Skeleton Barrel,Skeletons,Wall Breakers
402,Electro Spirit,Fireball,Fisherman,Hunter,Knight,Mini P.E.K.K.A,Royal Giant,The Log
403,Electro Spirit,Fireball,Fisherman,Hunter,Knight,Royal Ghost,Royal Giant,The Log
404,Boss Bandit,Executioner,Freeze,Guards,Hog Rider,Mini P.E.K.K.A,Minion Horde,Zap
405,Giant,Golden Knight,Magic Archer,Miner,Mini P.E.K.K.A,Skeletons,The Log,Zap
406,Archer Queen,Berserker,Cannon,Earthquake,Royal Delivery,Royal Hogs,Skeletons,The Log
407,Arrows,Giant,Ice Wizard,Mini P.E.K.K.A,Rage,Royal Ghost,Witch,Zap
408,Bomber,Cannon,Fire Spirit,Giant Snowball,Goblin Drill,Knight,Rocket,Skeletons
409,Dark Prince,Giant,Mini P.E.K.K.A,Minions,Rage,Skeleton Army,Sparky,Zap
410,Arrows,Balloon,Bats,Bomber,Freeze,Giant,Minions,Skeleton Army
411,Bomb Tower,Executioner,Goblin Drill,Golden Knight,Knight,Poison,Skeletons,Tornado
412,Berserker,Cannon,Dart Goblin,Electro Spirit,Fire Spirit,Fireball,Suspicious Bush,Wall Breakers
413,Bomb Tower,Ice Wizard,Knight,Miner,Rocket,Skeletons,Tornado,Wall Breakers
414,Bats,Goblin Hut,Knight,Miner,Poison,Spear Goblins,The Log,Wall Breakers
415,Goblin Barrel,Inferno Tower,Princess,Rascals,Skeleton Army,Skeleton Barrel,Suspicious Bush,The Log
416,Dark Prince,Giant,Miner,Mini P.E.K.K.A,Rage,Vines,Witch,Zap
417,Cannon,Fireball,Ice Spirit,Mini P.E.K.K.A,Musketeer,Santa Hog Rider,Skeletons,The Log
418,Fireball,Firecracker,Goblin Barrel,Goblin Gang,Knight,Santa Hog Rider,Tesla,The Log
419,Balloon,Fireball,Goblin Gang,Lumberjack,Minion Horde,Santa Hog Rider,Valkyrie,Witch
420,Giant,Hunter,Mini P.E.K.K.A,Minion Horde,Skeleton Army,Sparky,Tornado,Zap
421,Balloon,Bats,Freeze,Giant Snowball,Knight,Lumberjack,Mini P.E.K.K.A,Wizard
422,Dart Goblin,Goblin Barrel,Inferno Tower,Princess,Skeleton Army,Skeleton Barrel,The Log,Valkyrie
423,Goblins,Inferno Tower,Miner,Mini P.E.K.K.A,Princess,Skeleton Army,The Log,Zap
424,Cannon,Earthquake,Firecracker,Hog Rider,Ice Spirit,Knight,Skeletons,The Log
425,Elite Barbarians,Executioner,Fireball,Minion Horde,Mirror,P.E.K.K.A,Rage,Royal Recruits
426,Bomb Tower,Boss Bandit,Electro Dragon,Firecracker,Knight,Mini P.E.K.K.A,Suspicious Bush,The Log
427,Elite Barbarians,Hog Rider,Inferno Tower,Lumberjack,P.E.K.K.A,Witch,Wizard,Zap
428,Balloon,Giant Snowball,Ice Golem,Inferno Tower,Miner,Musketeer,Skeletons,Valkyrie
429,Arrows,Golden Knight,Guards,Miner,Minion Horde,Mortar,Mother Witch,Skeleton Army
430,Cannon,Electro Spirit,Firecracker,Hog Rider,Lightning,Mini P.E.K.K.A,Skeletons,The Log
431,Baby Dragon,Barbarian Barrel,Battle Healer,Electro Dragon,Elixir Golem,Goblin Cage,Skeletons,Tornado
432,Bomb Tower,Guards,Knight,Magic Archer,Miner,The Log,Tornado,Wall Breakers
433,Baby Dragon,Barbarian Barrel,Elixir Collector,Golem,Lightning,Mini P.E.K.K.A,Musketeer,Skeleton Army
434,Baby Dragon,Barbarian Barrel,Goblin Hut,Graveyard,Ice Spirit,Knight,Musketeer,Poison
435,Cannon,Earthquake,Electro Spirit,Firecracker,Hog Rider,Mini P.E.K.K.A,Royal Delivery,Skeletons
436,Bomb Tower,Fireball,Magic Archer,Miner,Skeletons,Tornado,Valkyrie,Wall Breakers
437,Arrows,Fisherman,Goblin Barrel,Goblin Demolisher,Goblin Gang,Ice Wizard,Rascals,Royal Recruits
438,Bomb Tower,Magic Archer,Miner,Skeletons,The Log,Tornado,Valkyrie,Wall Breakers
439,Electro Spirit,Giant Snowball,Goblin Demolisher,Goblin Drill,Guards,Knight,Poison,Tesla
440,Baby Dragon,Bomber,Bowler,Electro Giant,Goblin Cage,Golden Knight,Lightning,Tornado
441,Arrows,Goblin Cage,Guards,Lava Hound,Lightning,Mega Minion,Skeleton Dragons,Valkyrie
442,Barbarian Barrel,Boss Bandit,Fireball,Minions,Mortar,Musketeer,Skeleton Barrel,Skeletons
443,Barbarian Barrel,Electro Wizard,Fireball,Mini P.E.K.K.A,Minions,Mortar,Skeleton Barrel,Skeletons
444,Dart Goblin,Fire Spirit,Ice Spirit,Monk,Skeleton Army,Skeleton Barrel,Suspicious Bush,Vines
445,Electro Spirit,Fireball,Fisherman,Hunter,Royal Ghost,Royal Giant,Skeletons,The Log
446,Fire Spirit,Ice Spirit,Poison,Rocket,Royal Delivery,Skeletons,Tesla,The Log
447,Battle Healer,Heal Spirit,Inferno Dragon,Mini P.E.K.K.A,Monk,Rage,Valkyrie,Vines
448,Cannon,Fire Spirit,Mega Minion,Miner,Poison,The Log,Tornado,Wall Breakers
449,Battle Healer,Electro Dragon,Elixir Collector,Elixir Golem,Fire Spirit,Mirror,Skeletons,Tornado
450,Cannon,Fire Spirit,Fireball,Goblin Drill,Mighty Miner,Skeletons,The Log,Wall Breakers
451,Goblin Curse,Lava Hound,Miner,Minions,Spirit Empress,Tombstone,Valkyrie,Zap
452,Elite Barbarians,Elixir Collector,Freeze,Ice Spirit,Mirror,Rage,Skeletons,Vines
453,Arrows,Minions,Mortar,Musketeer,Skeleton Barrel,Skeleton King,Skeletons,Spear Goblins
454,Archer Queen,Battle Ram,Cannon,Giant Snowball,Mighty Miner,Royal Ghost,Suspicious Bush,Void
455,Barbarian Barrel,Electro Spirit,Hog Rider,Lightning,Mighty Miner,Musketeer,Skeletons,Tesla
456,Archer Queen,Battle Ram,Cannon,Giant Snowball,Mighty Miner,Mother Witch,Royal Ghost,Suspicious Bush
457,Bowler,Fireball,Giant,Goblin Gang,Inferno Tower,Miner,Night Witch,Zap
458,Battle Ram,Boss Bandit,Electro Wizard,Goblin Curse,Goblins,Magic Archer,Mini P.E.K.K.A,Royal Ghost
459,Bandit,Barbarian Barrel,Boss Bandit,Executioner,Giant Snowball,Golden Knight,Ram Rider,Vines
460,Bomber,Giant,Heal Spirit,Mega Minion,Mini P.E.K.K.A,Royal Ghost,Void,Zap
461,Bomber,Electro Spirit,Executioner,Giant,Mini P.E.K.K.A,Royal Ghost,Void,Zap
462,Barbarian Barrel,Electro Giant,Goblin Cage,Lightning,Musketeer,Royal Ghost,Skeletons,Tornado
463,Arrows,Battle Ram,Golden Knight,Knight,Mother Witch,P.E.K.K.A,Royal Ghost,Zappies
464,Baby Dragon,Golden Knight,Golem,Ice Wizard,Lightning,Mini P.E.K.K.A,Royal Ghost,Tornado
465,Barbarian Barrel,Fireball,Heal Spirit,Hunter,Ice Golem,Mini P.E.K.K.A,Royal Hogs,Three Musketeers
466,Bats,Bowler,Giant,Giant Snowball,Graveyard,Mini P.E.K.K.A,Vines,Witch
467,Giant Snowball,Goblin Demolisher,Goblin Drill,Guards,Ice Spirit,Knight,Rocket,Tesla
468,Giant,Heal Spirit,Mini P.E.K.K.A,Skeleton Army,Sparky,Vines,Wizard,Zap
469,Arrows,Bomb Tower,Dart Goblin,Goblin Gang,Mighty Miner,Royal Recruits,Skeleton Barrel,Wall Breakers
470,Baby Dragon,Fireball,Flying Machine,Lava Hound,Skeleton Army,Tombstone,Valkyrie,Vines
471,Barbarian Barrel,Miner,Minions,Mortar,Musketeer,Poison,Skeleton Army,Skeleton King
472,Fireball,Fisherman,Hunter,Knight,Royal Ghost,Royal Giant,Skeletons,The Log
473,Ice Spirit,Knight,Mortar,Musketeer,Rocket,Skeletons,The Log,Tornado
474,Arrows,Balloon,Bomb Tower,Giant Snowball,Ice Golem,Miner,Musketeer,Skeletons
475,Inferno Dragon,Mega Knight,Miner,Minions,Skeleton Army,Skeleton Barrel,Skeleton King,Zap
476,Ice Wizard,Rocket,Skeletons,Tesla,The Log,Tornado,Valkyrie,X-Bow
477,Bomber,Fire Spirit,Giant Snowball,Goblin Drill,Knight,Poison,Skeletons,Tesla
478,Archer Queen,Electro Spirit,Fireball,Knight,Skeletons,Tesla,The Log,X-Bow
479,Arrows,Goblin Cage,Knight,Lava Hound,Lightning,Skeleton Army,Skeleton Dragons,Spirit Empress
480,Cannon Cart,Giant Snowball,Guards,Knight,Mortar,Musketeer,Poison,Skeleton Barrel
481,Cannon Cart,Giant Snowball,Graveyard,Guards,Knight,Mortar,Musketeer,Poison
482,Arrows,Barbarians,Bowler,Giant,Giant Snowball,Graveyard,Ice Wizard,Minions
483,Barbarians,Flying Machine,Goblin Curse,Lava Hound,Miner,Phoenix,Tombstone,Zap
484,Barbarian Barrel,Cannon,Earthquake,Electro Spirit,Hog Rider,Knight,Mother Witch,Skeletons
485,Balloon,Barbarian Barrel,Bowler,Electro Dragon,Freeze,Inferno Dragon,Knight,Tornado
486,Dart Goblin,Fire Spirit,Ice Spirit,Skeleton Army,Skeleton Barrel,Skeleton King,The Log,Wall Breakers
487,Arrows,Battle Ram,Electro Wizard,Golden Knight,Knight,Mother Witch,P.E.K.K.A,Royal Ghost
488,Electro Spirit,Fireball,Fisherman,Hunter,Knight,Royal Giant,Skeletons,The Log
489,Elixir Collector,Giant Snowball,Ice Golem,Ice Spirit,Miner,Mini P.E.K.K.A,The Log,Three Musketeers
490,Cannon,Earthquake,Firecracker,Hog Rider,Ice Spirit,Mighty Miner,Skeletons,The Log
491,Cannon,Goblin Drill,Mighty Miner,Musketeer,Poison,Skeletons,The Log,Wall Breakers
492,Cannon,Giant Snowball,Goblin Drill,Ice Spirit,Mighty Miner,Musketeer,Poison,Skeletons
493,Baby Dragon,Barbarian Barrel,Goblin Cage,Graveyard,Ice Wizard,Knight,Poison,Tornado
494,Dark Prince,Elixir Collector,Giant,Lightning,Mini P.E.K.K.A,Rage,Witch,Zap
495,Boss Bandit,Cannon Cart,Dark Prince,Giant Snowball,Goblin Barrel,Goblin Gang,Princess,Rascals
496,Balloon,Bowler,Freeze,Inferno Dragon,Knight,Lumberjack,Tornado,Wizard
497,Arrows,Bats,Electro Spirit,Elixir Collector,Knight,Mega Knight,Spear Goblins,Three Musketeers
498,Bandit,Cannon,Goblin Drill,Magic Archer,Royal Ghost,Skeletons,Tornado,Wall Breakers
499,Boss Bandit,Executioner,Freeze,Hog Rider,Mini P.E.K.K.A,Minions,Skeletons,Zap
500,Barbarian Barrel,Fireball,Fisherman,Royal Giant,Skeleton King,Tombstone,Witch,Zappies
501,Arrows,Cannon,Ice Wizard,Knight,Lightning,Mega Knight,Ram Rider,Zappies
502,Dark Prince,Elixir Collector,Giant,Mini P.E.K.K.A,Minion Horde,Rage,Sparky,Wizard
503,Balloon,Inferno Dragon,Lava Hound,Skeleton Dragons,Tombstone,Valkyrie,Vines,Void
504,Barbarian Barrel,Boss Bandit,Electro Spirit,Executioner,Giant Snowball,Mini P.E.K.K.A,Ram Rider,Vines
505,Barbarian Barrel,Knight,Lightning,Minions,Mortar,Musketeer,Skeleton Barrel,Skeletons
506,Bomber,Dark Prince,Fireball,Giant,Mega Minion,Mini P.E.K.K.A,Rage,Zap
507,Balloon,Barbarians,Lava Hound,Mega Minion,Skeleton Dragons,Tombstone,Void,Zap
508,Barbarian Barrel,Executioner,Fisherman,Guards,Monk,Royal Giant,Vines,Zappies
509,Arrows,Fireball,Flying Machine,Goblin Hut,Musketeer,Royal Ghost,Royal Hogs,Skeletons
510,Fire Spirit,Goblin Hut,Musketeer,Royal Ghost,Skeletons,Suspicious Bush,Wall Breakers,Zap
511,Balloon,Guards,Inferno Dragon,Lava Hound,Skeleton Dragons,Valkyrie,Vines,Void
512,Bats,Elixir Collector,Giant,Goblin Gang,Knight,Minion Horde,Three Musketeers,Zap
513,Arrows,Balloon,Freeze,Inferno Tower,Lumberjack,Musketeer,Skeleton Army,Valkyrie
514,Arrows,Battle Ram,Berserker,Goblin Gang,Musketeer,Royal Recruits,Skeleton King,Zappies
515,Bandit,Battle Ram,Electro Wizard,Minions,P.E.K.K.A,Poison,Royal Ghost,Zap
516,Baby Dragon,Balloon,Berserker,Giant Snowball,Goblin Cage,Ice Golem,Miner,Rocket
517,Berserker,Cannon,Dart Goblin,Goblin Barrel,Ice Spirit,Rocket,Valkyrie,Wall Breakers
